,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,onmousedown,snippet,source,sponsored,state,stations,url
94,Seattle,Apkudo,US,"Wed, 22 Feb 2017 16:54:23 GMT",False,"Seattle, WA","Seattle, WA",17 days ago,True,8fff1ce194bed131,Software Engineer,"indeed_clk(this,'3191');","<b>Python</b>, Javascript (Node/React), SQL (Postgres), Hadoop/Spark, C, <b>Java</b>. Apkudo is a smart device test company that places user experience at the forefront of...",Indeed,False,WA,,http://www.indeed.com/viewjob?jk=8fff1ce194bed131&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
95,Seattle,Oracle,US,"Thu, 09 Mar 2017 17:07:21 GMT",False,"Seattle, WA","Seattle, WA",2 days ago,False,8e36c39f8c1bd843,Principal Member of Technical Staff (Block Storage) (Public Cloud),"indeed_clk(this,'3191');","Strong knowledge of C, C++ or <b>Java</b>, and experience with scripting languages such as <b>Python</b>, Perl, etc. Are you interested in building large-scale distributed...",Oracle,False,WA,,http://www.indeed.com/viewjob?jk=8e36c39f8c1bd843&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
96,Seattle,Amazon Corporate LLC,US,"Wed, 08 Feb 2017 11:11:29 GMT",False,"Seattle, WA","Seattle, WA",30+ days ago,False,77a4228568a8121a,Sr.Java/Python Full stack Engineer,"indeed_clk(this,'3191');",Sr. Software Development Engineer – Java/Python Full stack The goal of Amazon Catalog team is to enhance customer experience by providing a rich well,Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=77a4228568a8121a&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
97,Woodinville,Precor Inc.,US,"Sat, 04 Mar 2017 11:03:52 GMT",False,"Woodinville, WA","Woodinville, WA 98072",7 days ago,True,2abc2e99a72886b8,Software Engineer - Build & Development,"indeed_clk(this,'3191');","Developing with C/C++, <b>Java</b>, or another object-oriented language. Developing complex scripts in a scripting language (Bash, <b>Python</b>, JavaScript)....",Precor Inc.,False,WA,,http://www.indeed.com/viewjob?jk=2abc2e99a72886b8&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
98,Seattle,Oracle,US,"Tue, 07 Mar 2017 17:03:18 GMT",False,"Seattle, WA","Seattle, WA",4 days ago,False,8639c34b126469b6,Principal Member of Technical Staff - Network Infrastructure,"indeed_clk(this,'3191');","Proficient with <b>Java</b>, <b>Python</b>, Ruby. Proficient in <b>Python</b>, Ruby, <b>Java</b>, C/C++. Proficient in coding complex systems using <b>Python</b>, Ruby, <b>Java</b>, C/C++....",Oracle,False,WA,,http://www.indeed.com/viewjob?jk=8639c34b126469b6&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
99,Seattle,f5,US,"Sat, 11 Mar 2017 00:29:30 GMT",False,"Seattle, WA","Seattle, WA",1 day ago,False,9c98a705c63d7467,Principal Software Engineer - PDI Team,"indeed_clk(this,'3191');","Go, <b>Python</b>, C/C++, <b>Java</b>, SQL, Perl. Are you looking for a great team, a positive and productive work environment, and the opportunity to fully leverage your...",f5,False,WA,,http://www.indeed.com/viewjob?jk=9c98a705c63d7467&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qapa3gjcba
125,Renton,Meteorcomm LLC,US,"Tue, 22 Nov 2016 00:47:50 GMT",False,"Renton, WA","Renton, WA 98057",30+ days ago,False,6f7791d368d1f64a,Sr Software Engineer,"indeed_clk(this,'3513');","A BS in Electrical Engineering, Computer Science, or related field 5 + years of e xperience in embedded and application software development processes and Agile...",Meteorcomm LLC,False,WA,,http://www.indeed.com/viewjob?jk=6f7791d368d1f64a&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
126,Bellevue,Microsoft,US,"Sat, 18 Feb 2017 06:45:25 GMT",False,"Bellevue, WA","Bellevue, WA",21 days ago,False,b5dffefd286cefb3,Data Scientist,"indeed_clk(this,'3513');","Scala, <b>Java</b>, C++ or C#. We prefer C#, <b>Python</b> and SQL but are open to all OO programming languages. What if your job description were simply “Make tomorrow...",Microsoft,False,WA,,http://www.indeed.com/viewjob?jk=b5dffefd286cefb3&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
127,Seattle,Oracle,US,"Fri, 24 Feb 2017 22:30:42 GMT",False,"Seattle, WA","Seattle, WA",15 days ago,False,76f897b45591921e,Senior Software Developer 3,"indeed_clk(this,'3513');","Such as <b>Python</b>, Perl, etc. Strong knowledge of C, C++ or <b>Java</b>, and experience with scripting languages. Are....",Oracle,False,WA,,http://www.indeed.com/viewjob?jk=76f897b45591921e&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
128,Seattle,Amazon Corporate LLC,US,"Sat, 04 Mar 2017 00:23:07 GMT",False,"Seattle, WA","Seattle, WA",8 days ago,False,539272f686a7b6d5,Programmer Analyst II for ASK tools,"indeed_clk(this,'3513');","Proficiency in, at least, one modern programming language such as C, C++, <b>Java</b>, <b>Python</b> or PERL. Programmer/Analysts are programming specialists with deep domain...",Amazon.com,False,WA,,http://www.indeed.com/viewjob?jk=539272f686a7b6d5&qd=kzI5tJZPkWJqoVrEwKNhYpIFnsRgledjPocYT4JdGR8ZLu9kPmp6_s1DELwBDGVOuRJIGPm8XICDSN9P7pG7oN0cen5uxlFTh8KvhqkalJgkt0LCVy_rQinuMfW47e_m&indpubnum=8836246992678581&atk=1bavv9qkq182r1jh
